1,2,3,4,5,6,7,8,9,10
Raiders of the Lost Ark (1981),"Silence of the Lambs, The (1991)","Usual Suspects, The (1995)",Schindler's List (1993),Apocalypse Now (1979),Fargo (1996),"Shawshank Redemption, The (1994)",Casablanca (1942),Alien (1979),"Close Shave, A (1995)"
Titanic (1997),Star Wars (1977),"Boot, Das (1981)",Apt Pupil (1998),Annie Hall (1977),Ridicule (1996),Boogie Nights (1997),Dead Man Walking (1995),Raiders of the Lost Ark (1981),Antonia's Line (1995)
Good Will Hunting (1997),Titanic (1997),"Full Monty, The (1997)",Pulp Fiction (1994),Kolya (1996),Apt Pupil (1998),Star Wars (1977),"Third Man, The (1949)",Dazed and Confused (1993),Four Days in September (1997)
Titanic (1997),L.A. Confidential (1997),Good Will Hunting (1997),"Game, The (1997)","English Patient, The (1996)",Chasing Amy (1997),"Full Monty, The (1997)",Scream (1996),Liar Liar (1997),Rosewood (1997)
Blade Runner (1982),"Terminator, The (1984)","Princess Bride, The (1987)",Toy Story (1995),Terminator 2: Judgment Day (1991),Casablanca (1942),"Bridge on the River Kwai, The (1957)",Aliens (1986),Braveheart (1995),Amadeus (1984)
Schindler's List (1993),One Flew Over the Cuckoo's Nest (1975),North by Northwest (1959),Return of the Jedi (1983),"Graduate, The (1967)","Bridge on the River Kwai, The (1957)",Patton (1970),Lawrence of Arabia (1962),Casablanca (1942),2001: A Space Odyssey (1968)
Raiders of the Lost Ark (1981),"Godfather, The (1972)",Braveheart (1995),Blade Runner (1982),"Empire Strikes Back, The (1980)",GoodFellas (1990),Babe (1995),Psycho (1960),Amadeus (1984),"Fugitive, The (1993)"
Titanic (1997),Star Wars (1977),Braveheart (1995),"Godfather, The (1972)",Contact (1997),Mr. Holland's Opus (1995),Toy Story (1995),"Empire Strikes Back, The (1980)",Air Force One (1997),Back to the Future (1985)
Contact (1997),Titanic (1997),"Full Monty, The (1997)","Rainmaker, The (1997)",Raiders of the Lost Ark (1981),Air Force One (1997),Fly Away Home (1996),L.A. Confidential (1997),Star Trek: The Wrath of Khan (1982),Apt Pupil (1998)
"Godfather, The (1972)",Casablanca (1942),Pulp Fiction (1994),"Silence of the Lambs, The (1991)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),2001: A Space Odyssey (1968),To Kill a Mockingbird (1962),"Godfather: Part II, The (1974)",Rear Window (1954),"Shawshank Redemption, The (1994)"
